class,rf_values,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Kon A,Kon B,Kon C
group,,WT,WT,WT,KO,KO,KO,MUT1,MUT1,MUT1,MUT2,MUT2,MUT2,MUT3,MUT3,MUT3,NAIVE,NAIVE,NAIVE,Kon A,Kon B,Kon C
blank,,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,Kon A,,Kon A,Kon A
sample input,,10,30,20,20,20,20,10,10,20,20,30,20,20,20,20,20,20,20,,50,100
PC,1.1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
SM,1.39,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,,
PE,1.11,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
PS,0.78,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
PI,0.96,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
PG,0.99,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
PA,0.37,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
HexCer,1.51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Cer,1.39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Hex2Cer,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
DG,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
TG,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,
CE,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,
LPC,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
Chol,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PE P-16:0,1.14,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,
PE P-18:0,1.14,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,
PE P-18:1,1.14,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,
PECer,1.39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
